code,raw_code,date,action_day,time,time_raw,status,price,open,high,low,pre_close,high_limited,low_limited,volume,turnover,num_trades,BidPrice1,BidVolume1,AskPrice1,AskVolume1,BidPrice2,BidVolume2,AskPrice2,AskVolume2,BidPrice3,BidVolume3,AskPrice3,AskVolume3,BidPrice4,BidVolume4,AskPrice4,AskVolume4,BidPrice5,BidVolume5,AskPrice5,AskVolume5,BidPrice6,BidVolume6,AskPrice6,AskVolume6,BidPrice7,BidVolume7,AskPrice7,AskVolume7,BidPrice8,BidVolume8,AskPrice8,AskVolume8,BidPrice9,BidVolume9,AskPrice9,AskVolume9,BidPrice10,BidVolume10,AskPrice10,AskVolume10,total_bid_vol,total_ask_vol,recv_time
000931.SZ,000931,20260420,20260420,10:12:21.000,101221000,79,4.98,5.19,5.19,4.95,5.2,5.72,4.68,11338363,5680.1131,10813,4.98,206537,4.99,171000,4.97,226800,5.0,122200,4.96,439400,5.01,184500,4.95,337300,5.02,12200,4.94,76200,5.03,13100,4.93,60100,5.04,7200,4.92,173300,5.05,110600,4.91,92300,5.06,16100,4.9,224500,5.08,29500,4.89,47500,5.09,16500,2575637,2408700,15:38:02.096
000931.SZ,000931,20260420,20260420,10:12:24.000,101224000,79,4.98,5.19,5.19,4.95,5.2,5.72,4.68,11338363,5680.1131,10813,4.98,208837,4.99,171000,4.97,226800,5.0,122200,4.96,439400,5.01,184500,4.95,337300,5.02,12200,4.94,76200,5.03,13100,4.93,60100,5.04,7200,4.92,173300,5.05,110600,4.91,92300,5.06,16100,4.9,224500,5.08,29500,4.89,47500,5.09,16500,2577937,2408700,15:38:02.183
000931.SZ,000931,20260420,20260420,10:12:27.000,101227000,79,4.98,5.19,5.19,4.95,5.2,5.72,4.68,11338863,5680.3621,10814,4.98,208337,4.99,171000,4.97,226800,5.0,122200,4.96,439400,5.01,184500,4.95,337300,5.02,12200,4.94,76200,5.03,13100,4.93,60100,5.04,7200,4.92,173300,5.05,110600,4.91,92300,5.06,16100,4.9,224500,5.08,29500,4.89,47500,5.09,16500,2577437,2408700,15:38:02.368
000931.SZ,000931,20260420,20260420,10:12:30.000,101230000,79,4.99,5.19,5.19,4.95,5.2,5.72,4.68,11340563,5681.2092,10817,4.98,217237,4.99,171500,4.97,226800,5.0,122200,4.96,439400,5.01,184500,4.95,337300,5.02,12200,4.94,76200,5.03,13100,4.93,60100,5.04,7200,4.92,173500,5.05,110600,4.91,92300,5.06,16100,4.9,224500,5.08,29500,4.89,47500,5.09,16500,2586537,2409200,15:38:02.692
000931.SZ,000931,20260420,20260420,10:12:33.000,101233000,79,4.99,5.19,5.19,4.95,5.2,5.72,4.68,11340563,5681.2092,10817,4.98,217237,4.99,171500,4.97,226800,5.0,122200,4.96,439400,5.01,184500,4.95,338300,5.02,12200,4.94,77200,5.03,13100,4.93,60100,5.04,7200,4.92,173500,5.05,110600,4.91,92300,5.06,16100,4.9,224500,5.08,29500,4.89,47500,5.09,16500,2588537,2409200,15:38:02.958
000931.SZ,000931,20260420,20260420,10:12:36.000,101236000,79,4.98,5.19,5.19,4.95,5.2,5.72,4.68,11347163,5684.5006,10825,4.98,215237,4.99,171300,4.97,226800,5.0,122200,4.96,438800,5.01,184500,4.95,338300,5.02,12200,4.94,76200,5.03,13100,4.93,60100,5.04,7200,4.92,173500,5.05,110600,4.91,92300,5.06,16100,4.9,224500,5.08,29500,4.89,47500,5.09,16500,2584937,2409000,15:38:03.204
000931.SZ,000931,20260420,20260420,10:12:42.000,101242000,79,4.99,5.19,5.19,4.95,5.2,5.72,4.68,11347263,5684.5505,10826,4.98,204237,4.99,175600,4.97,227800,5.0,122200,4.96,439600,5.01,33500,4.95,338300,5.02,12200,4.94,76200,5.03,13100,4.93,60100,5.04,7200,4.92,173500,5.05,110600,4.91,92300,5.06,16100,4.9,224500,5.08,29500,4.89,47500,5.09,16500,2575737,2262300,15:38:03.753
000931.SZ,000931,20260420,20260420,10:12:45.000,101245000,79,4.99,5.19,5.19,4.95,5.2,5.72,4.68,11347263,5684.5505,10826,4.98,204737,4.99,175600,4.97,227800,5.0,122200,4.96,439600,5.01,33500,4.95,338300,5.02,12200,4.94,76200,5.03,13100,4.93,60100,5.04,7200,4.92,173500,5.05,110600,4.91,92300,5.06,16100,4.9,224500,5.08,29500,4.89,47500,5.09,16500,2576237,2262300,15:38:03.941
000931.SZ,000931,20260420,20260420,10:12:48.000,101248000,79,4.99,5.19,5.19,4.95,5.2,5.72,4.68,11347263,5684.5505,10826,4.98,204737,4.99,174200,4.97,227800,5.0,122200,4.96,439600,5.01,33500,4.95,338300,5.02,12200,4.94,76200,5.03,13100,4.93,60100,5.04,7200,4.92,173500,5.05,110600,4.91,92300,5.06,16100,4.9,224500,5.08,29500,4.89,47500,5.09,16500,2582437,2260900,15:38:04.202
000931.SZ,000931,20260420,20260420,10:12:51.000,101251000,79,4.99,5.19,5.19,4.95,5.2,5.72,4.68,11347263,5684.5505,10826,4.98,209437,4.99,178700,4.97,227800,5.0,122200,4.96,439600,5.01,33500,4.95,338300,5.02,12200,4.94,76200,5.03,13100,4.93,60100,5.04,7200,4.92,173500,5.05,110600,4.91,92300,5.06,16100,4.9,224500,5.08,29500,4.89,47500,5.09,16500,2587137,2265400,15:38:04.483
