code,time,time_raw,index,price,volume,turnover,bsflag,ask_order,bid_order,biz_index,recv_time
000931.SZ,10:07:27.420,100727420,19758298,4.98,300,0.1494,B,19721581,19758297,0,18:09:22.086
000931.SZ,10:07:27.420,100727420,19758299,4.98,100,0.0498,B,19721661,19758297,0,18:09:22.086
000931.SZ,10:07:27.570,100727570,19759311,4.98,100,0.0498,S,19759310,19758297,0,18:09:22.194
000931.SZ,10:07:30.660,100730660,19772360,0.0,200,0.0,?,0,19739443,0,18:09:22.379
000931.SZ,10:07:31.940,100731940,19778172,0.0,300,0.0,?,0,19733117,0,18:09:22.489
000931.SZ,10:07:31.940,100731940,19778173,0.0,200,0.0,?,0,19733136,0,18:09:22.489
000931.SZ,10:07:33.980,100733980,19787514,0.0,800,0.0,?,0,19736132,0,18:09:22.659
000931.SZ,10:07:33.980,100733980,19787515,0.0,400,0.0,?,0,19736183,0,18:09:22.659
000931.SZ,10:07:33.980,100733980,19787516,0.0,500,0.0,?,0,19736131,0,18:09:22.659
000931.SZ,10:07:57.310,100757310,19884462,0.0,100,0.0,?,0,19751797,0,18:09:24.718
000931.SZ,10:08:01.810,100801810,19907043,4.99,100,0.0499,B,18953108,19907042,0,18:09:25.339
000931.SZ,10:08:01.820,100801820,19907089,4.99,300,0.1497,B,18953108,19907088,0,18:09:25.339
000931.SZ,10:08:01.830,100801830,19907230,4.99,600,0.2994,B,18953108,19907229,0,18:09:25.339
000931.SZ,10:08:01.830,100801830,19907231,4.99,100,0.0499,B,18969981,19907229,0,18:09:25.339
000931.SZ,10:08:01.860,100801860,19907445,4.99,100,0.0499,B,18969981,19907444,0,18:09:25.339
000931.SZ,10:08:04.530,100804530,19920364,0.0,300,0.0,?,8274147,0,0,18:09:25.622
000931.SZ,10:08:04.670,100804670,19920936,0.0,400,0.0,?,8274524,0,0,18:09:25.622
000931.SZ,10:08:09.360,100809360,19940787,4.99,800,0.3992,B,18969981,19940786,0,18:09:26.107
000931.SZ,10:08:09.360,100809360,19940788,4.99,200,0.0998,B,18996587,19940786,0,18:09:26.107
000931.SZ,10:08:09.360,100809360,19940789,4.99,200,0.0998,B,19023373,19940786,0,18:09:26.107
000931.SZ,10:08:09.360,100809360,19940790,4.99,1000,0.499,B,19171750,19940786,0,18:09:26.107
000931.SZ,10:08:09.360,100809360,19940791,4.99,1100,0.5489,B,19176739,19940786,0,18:09:26.107
000931.SZ,10:08:10.970,100810970,19949137,4.99,900,0.4491,B,19216369,19949136,0,18:09:26.247
